sars.gene	sars.go.tmp	Term.ID
7a	part_of	GO:0019012
7a	part_of	GO:0033644
7a	part_of	GO:0016021
7a	part_of	GO:0044177
7a	part_of	GO:0044165
7a	involved_in	GO:0016032
7a	part_of	GO:0044167
7a	part_of	GO:0044173
7a	part_of	GO:0019012
7a	part_of	GO:0044178
7a	enables	GO:0003674
N	part_of	GO:0044220
N	part_of	GO:0044172
N	part_of	GO:0019012
N	part_of	GO:0044177
N	part_of	GO:0044172
N	part_of	GO:0019013
N	enables	GO:0003723
N	part_of	GO:0044177
N	part_of	GO:0019013
N	part_of	GO:0019013
N	part_of	GO:0044177
N	part_of	GO:0019012
N	part_of	GO:0030430
N	enables	GO:0003723
E	involved_in	GO:0044662
E	involved_in	GO:0046760
E	part_of	GO:0044177
E	part_of	GO:0016021
E	part_of	GO:0016020
E	part_of	GO:0044177
E	part_of	GO:0033644
E	part_of	GO:0044178
E	part_of	GO:0044172
E	involved_in	GO:0046760
E	part_of	GO:0044178
E	involved_in	GO:0044662
E	part_of	GO:0044177
E	part_of	GO:0016021
